搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
應用日語學系、日文,真理大學應用日語學系(079112),37,不要求,111,4,無,無,680,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079112.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1853
台灣文學系一般組,真理大學台灣文學系一般組(079122),10,不要求,50,1,無,無,680,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079122.htm?v=1.0,https://www.unews.com.tw/School/Info/69
台灣文學系語文傳播組,真理大學台灣文學系語文傳播組(079132),10,不要求,50,1,無,無,680,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079132.htm?v=1.0,https://www.unews.com.tw/School/Info/69
統計資訊與精算學系一般組,真理大學統計資訊與精算學系一般組(079142),12,不要求,48,1,無,無,480,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079142.htm?v=1.0,https://www.unews.com.tw/School/Info/69
統計資訊與精算學系商業應用組,真理大學統計資訊與精算學系商業應用組(079152),11,不要求,50,1,無,無,680,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079152.htm?v=1.0,https://www.unews.com.tw/School/Info/69
資訊工程學系資訊安全應用組、資工,真理大學資訊工程學系資訊安全應用組(079162),8,不要求,44,無,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079162.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1867
資訊工程學系科技應用組、資工,真理大學資訊工程學系科技應用組(079172),8,不要求,44,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079172.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1867
資訊工程學系人工智慧應用組、資工,真理大學資訊工程學系人工智慧應用組(079182),9,不要求,50,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079182.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1867
資訊工程學系多媒體與遊戲設計組、資工,真理大學資訊工程學系多媒體與遊戲設計組(079192),8,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079192.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1867
資訊工程學系大數據應用組、資工,真理大學資訊工程學系大數據應用組(079202),9,不要求,50,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079202.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1867
法律學系,真理大學法律學系(079212),40,不要求,120,4,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079212.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1863
會計資訊學系,真理大學會計資訊學系(079222),37,不要求,111,4,無,無,680,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079222.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1857
財務金融學系、財金,真理大學財務金融學系(079232),33,不要求,99,4,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079232.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1860
國際企業與貿易學系、國企,真理大學國際企業與貿易學系(079242),35,不要求,105,4,無,無,680,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079242.htm?v=1.0,https://www.unews.com.tw/School/Info/69
國際企業與貿易學系、國企,真理大學國際企業與貿易學系(青年儲蓄帳戶組)(079252),1,不要求,50,無,無,無,480,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079252.htm?v=1.0,https://www.unews.com.tw/School/Info/69
理財與稅務規劃學系,真理大學理財與稅務規劃學系(079262),23,不要求,69,2,無,無,680,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079262.htm?v=1.0,https://www.unews.com.tw/School/Info/69
