搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
生命科學系、生科,國立清華大學生命科學系(011392),27,不要求,81,無,無,無,1300,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011392.htm?v=1.0,https://www.unews.com.tw/School/Department/2/56
醫學科學系,國立清華大學醫學科學系(011402),19,不要求,57,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011402.htm?v=1.0,https://www.unews.com.tw/School/Department/2/80
生命科學暨醫學院學士班、生科,國立清華大學生命科學暨醫學院學士班(011412),21,不要求,63,1,無,無,1100,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011412.htm?v=1.0,https://www.unews.com.tw/School/Info/2
清華學院學士班甲組,國立清華大學清華學院學士班甲組(不分系招生–創新設計)(011422),8,不要求,40,無,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011422.htm?v=1.0,https://www.unews.com.tw/School/Department/2/82
清華學院學士班乙組,國立清華大學清華學院學士班乙組(青年儲蓄帳戶組)(011432),2,不要求,50,無,無,無,1100,112.05.25,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011432.htm?v=1.0,https://www.unews.com.tw/School/Department/2/82
旭日招生甲組,國立清華大學旭日招生甲組(人文、教育)(011442),9,不要求,27,無,無,無,1100,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011442.htm?v=1.0,https://www.unews.com.tw/School/Info/2
旭日招生乙組,國立清華大學旭日招生乙組(科管)(011452),4,不要求,18,1,無,無,1100,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011452.htm?v=1.0,https://www.unews.com.tw/School/Info/2
旭日招生丙組,國立清華大學旭日招生丙組(理工、原科、生科)(011462),17,不要求,51,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011462.htm?v=1.0,https://www.unews.com.tw/School/Info/2
旭日招生丁組,國立清華大學旭日招生丁組(電資院)(011472),6,不要求,18,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011472.htm?v=1.0,https://www.unews.com.tw/School/Info/2
運動科學系,國立清華大學運動科學系(011482),12,不要求,48,1,1,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011482.htm?v=1.0,https://www.unews.com.tw/School/Info/2
藝術學院學士班,國立清華大學藝術學院學士班(科技藝術組)(011492),19,不要求,57,無,無,無,1100,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011492.htm?v=1.0,https://www.unews.com.tw/School/Department/2/84
藝術學院學士班,國立清華大學藝術學院學士班(音樂組)(011502),5,不要求,30,無,無,無,1300,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011502.htm?v=1.0,https://www.unews.com.tw/School/Department/2/84
藝術學院學士班,國立清華大學藝術學院學士班(藝設跨域組)(011512),6,不要求,30,無,無,無,1300,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011512.htm?v=1.0,https://www.unews.com.tw/School/Department/2/84
音樂學系,國立清華大學音樂學系(011522),35,不要求,525,2,無,無,200,--,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011522.htm?v=1.0,https://www.unews.com.tw/School/Department/2/47
藝術與設計學系創作組,國立清華大學藝術與設計學系創作組(011532),20,不要求,90,1,無,無,1300,112.05.26至112.05.27,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011532.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3499
藝術與設計學系設計組,國立清華大學藝術與設計學系設計組(011542),20,不要求,90,1,無,無,1300,112.05.26至112.05.27,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011542.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3499
