搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
地政學系土地測量與資訊組,國立政治大學地政學系土地測量與資訊組(006112),19,不要求,57,無,無,無,1300,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006112.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3498
經濟學系,國立政治大學經濟學系(006122),42,不要求,126,無,無,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006122.htm?v=1.0,https://www.unews.com.tw/School/Department/1/14
民族學系,國立政治大學民族學系(006132),16,不要求,48,3,無,無,1300,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006132.htm?v=1.0,https://www.unews.com.tw/School/Department/1/17
外交學系,國立政治大學外交學系(006142),23,不要求,69,1,無,無,1300,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006142.htm?v=1.0,https://www.unews.com.tw/School/Department/1/23
國際經營與貿易學系,國立政治大學國際經營與貿易學系(006152),30,不要求,90,無,2,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006152.htm?v=1.0,https://www.unews.com.tw/School/Department/1/27
金融學系,國立政治大學金融學系(006162),23,不要求,69,無,2,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006162.htm?v=1.0,https://www.unews.com.tw/School/Department/1/29
會計學系、會計,國立政治大學會計學系(006172),36,不要求,90,2,1,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006172.htm?v=1.0,https://www.unews.com.tw/School/Department/1/25
統計學系,國立政治大學統計學系(甲組)(006182),13,不要求,46,無,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006182.htm?v=1.0,https://www.unews.com.tw/School/Department/1/34
統計學系,國立政治大學統計學系(乙組)(006192),6,不要求,21,無,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006192.htm?v=1.0,https://www.unews.com.tw/School/Department/1/34
企業管理學系、企管,國立政治大學企業管理學系(006202),31,不要求,93,無,無,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006202.htm?v=1.0,https://www.unews.com.tw/School/Department/1/26
資訊管理學系、資管,國立政治大學資訊管理學系(006212),25,不要求,75,1,無,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006212.htm?v=1.0,https://www.unews.com.tw/School/Department/1/35
財務管理學系,國立政治大學財務管理學系(006222),22,不要求,66,無,2,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006222.htm?v=1.0,https://www.unews.com.tw/School/Department/1/28
風險管理與保險學系,國立政治大學風險管理與保險學系(006232),17,不要求,51,1,無,無,1300,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006232.htm?v=1.0,https://www.unews.com.tw/School/Department/1/30
傳播學院大一大二不分系,國立政治大學傳播學院大一大二不分系(社會組)(006242),50,不要求,150,2,2,無,1150,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006242.htm?v=1.0,https://www.unews.com.tw/School/Department/1/24
傳播學院大一大二不分系,國立政治大學傳播學院大一大二不分系(自然組)(006252),9,不要求,27,無,無,無,1150,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006252.htm?v=1.0,https://www.unews.com.tw/School/Department/1/24
