搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
傳播與科技學系,國立陽明交通大學傳播與科技學系,1322,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E8%88%87%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB&id=01322,https://www.com.tw/exam/university_013_111.html
生物科技學系乙組,國立陽明交通大學生物科技學系乙組,1323,數學甲(分科)x1.25,化學(分科)x1.25,物理(分科)x1.25,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=01323,https://www.com.tw/exam/university_013_111.html
奈米科學及工程學士學位學程乙組,國立陽明交通大學奈米科學及工程學士學位學程乙組(主修奈米),1324,數學甲(分科)x1.50,物理(分科)x1.50,化學(分科)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%A5%88%E7%B1%B3%E7%A7%91%E5%AD%B8%E5%8F%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E4%B9%99%E7%B5%84(%E4%B8%BB%E4%BF%AE%E5%A5%88%E7%B1%B3)&id=01324,https://www.com.tw/exam/university_013_111.html
奈米科學及工程學士學位學程甲組,國立陽明交通大學奈米科學及工程學士學位學程甲組(主修半導體),1325,數學甲(分科)x1.50,物理(分科)x1.50,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%A5%88%E7%B1%B3%E7%A7%91%E5%AD%B8%E5%8F%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E7%94%B2%E7%B5%84(%E4%B8%BB%E4%BF%AE%E5%8D%8A%E5%B0%8E%E9%AB%94)&id=01325,https://www.com.tw/exam/university_013_111.html
理學院科學學士學位學程甲組,國立陽明交通大學理學院科學學士學位學程甲組,1326,物理(分科)x1.00,數學甲(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%90%86%E5%AD%B8%E9%99%A2%E7%A7%91%E5%AD%B8%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E7%94%B2%E7%B5%84&id=01326,https://www.com.tw/exam/university_013_111.html
資訊管理與財務金融學系財務金融組、資管,國立陽明交通大學資訊管理與財務金融學系財務金融組(自然組),1327,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E8%88%87%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E7%B5%84(%E8%87%AA%E7%84%B6%E7%B5%84)&id=01327,https://www.com.tw/exam/university_013_111.html
護理學系,國立陽明交通大學護理學系,1351,英文(學測)x1.50,生物(分科)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,國文(學測)x1.00,數學A(後標),英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=01351,https://www.com.tw/exam/university_013_111.html
牙醫學系,國立陽明交通大學牙醫學系,1352,生物(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,國文(前標)數學A(前標),英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%89%99%E9%86%AB%E5%AD%B8%E7%B3%BB&id=01352,https://www.com.tw/exam/university_013_111.html
生命科學系暨基因體科學研究所、生科,國立陽明交通大學生命科學系暨基因體科學研究所,1353,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.25,生物(分科)x1.50,英文(學測)x1.25,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB%E6%9A%A8%E5%9F%BA%E5%9B%A0%E9%AB%94%E7%A7%91%E5%AD%B8%E7%A0%94%E7%A9%B6%E6%89%80&id=01353,https://www.com.tw/exam/university_013_111.html
醫學系(自費),國立陽明交通大學醫學系(自費),1354,英文(學測)x1.00,生物(分科)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,國文(前標)數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%B3%BB(%E8%87%AA%E8%B2%BB)&id=01354,https://www.com.tw/exam/university_013_111.html
生物醫學工程學系、生醫,國立陽明交通大學生物醫學工程學系,1355,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01355,https://www.com.tw/exam/university_013_111.html
物理治療暨輔助科技學系,國立陽明交通大學物理治療暨輔助科技學系,1356,生物(分科)x1.25,英文(學測)x1.25,物理(分科)x1.00,數學甲(分科)x1.00,化學(分科)x1.00,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82%E6%9A%A8%E8%BC%94%E5%8A%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB&id=01356,https://www.com.tw/exam/university_013_111.html
醫學生物技術暨檢驗學系,國立陽明交通大學醫學生物技術暨檢驗學系,1357,化學(分科)x2.00,英文(學測)x1.75,生物(分科)x1.75,數學甲(分科)x1.00,--,數學A(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E6%9A%A8%E6%AA%A2%E9%A9%97%E5%AD%B8%E7%B3%BB&id=01357,https://www.com.tw/exam/university_013_111.html
生物醫學影像暨放射科學系、生醫,國立陽明交通大學生物醫學影像暨放射科學系,1358,數學甲(分科)x1.25,化學(分科)x1.25,物理(分科)x1.25,英文(學測)x1.00,生物(分科)x1.00,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E5%BD%B1%E5%83%8F%E6%9A%A8%E6%94%BE%E5%B0%84%E7%A7%91%E5%AD%B8%E7%B3%BB&id=01358,https://www.com.tw/exam/university_013_111.html
學士班大一大二不分系,國立陽明交通大學學士班大一大二不分系,1359,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.25,生物(分科)x1.50,英文(學測)x1.25,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%AD%B8%E5%A3%AB%E7%8F%AD%E5%A4%A7%E4%B8%80%E5%A4%A7%E4%BA%8C%E4%B8%8D%E5%88%86%E7%B3%BB&id=01359,https://www.com.tw/exam/university_013_111.html
藥學系,國立陽明交通大學藥學系,1360,化學(分科)x1.00,數學甲(分科)x1.00,英文(學測)x1.00,生物(分科)x1.00,物理(分科)x1.00,國文(均標)數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%97%A5%E5%AD%B8%E7%B3%BB&id=01360,https://www.com.tw/exam/university_013_111.html
醫學系(公費),國立陽明交通大學醫學系(公費),1361,英文(學測)x1.00,生物(分科)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,國文(前標)數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%B3%BB(%E5%85%AC%E8%B2%BB)&id=01361,https://www.com.tw/exam/university_013_111.html
管理科學系(社會組,國立陽明交通大學管理科學系(社會組),1362,英文(學測)x1.50,數學A(學測)x1.00,歷史(分科)x1.00,--,---,國文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E7%A7%91%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=01362,https://www.com.tw/exam/university_013_111.html
資訊管理與財務金融學系財務金融組、資管,國立陽明交通大學資訊管理與財務金融學系財務金融組(社會組),1363,數學A(學測)x1.50,英文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E8%88%87%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E7%B5%84(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=01363,https://www.com.tw/exam/university_013_111.html
電機工程學系丙組、電機,國立陽明交通大學電機工程學系丙組(醫學電資組),1364,化學(分科)x1.50,物理(分科)x1.00,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B8%99%E7%B5%84(%E9%86%AB%E5%AD%B8%E9%9B%BB%E8%B3%87%E7%B5%84)&id=01364,https://www.com.tw/exam/university_013_111.html
