搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
電機工程學系(半導體組、電機,大葉大學電機工程學系(半導體組),4225,數學甲(分科)x2.00,國文(學測)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E5%8D%8A%E5%B0%8E%E9%AB%94%E7%B5%84)&id=04225,https://www.com.tw/exam/university_042_111.html
休閒事業管理學系,大葉大學休閒事業管理學系,4226,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E4%BA%8B%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04226,https://www.com.tw/exam/university_042_111.html
運動健康管理學系,大葉大學運動健康管理學系,4227,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E5%81%A5%E5%BA%B7%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04227,https://www.com.tw/exam/university_042_111.html
多媒體數位內容學士學位學程(動漫美術與模型製作組,大葉大學多媒體數位內容學士學位學程(動漫美術與模型製作組),4229,國文(學測)x2.00,地理(分科)x1.75,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E5%A4%9A%E5%AA%92%E9%AB%94%E6%95%B8%E4%BD%8D%E5%85%A7%E5%AE%B9%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B(%E5%8B%95%E6%BC%AB%E7%BE%8E%E8%A1%93%E8%88%87%E6%A8%A1%E5%9E%8B%E8%A3%BD%E4%BD%9C%E7%B5%84)&id=04229,https://www.com.tw/exam/university_042_111.html
資訊工程學系、資工,大葉大學資訊工程學系,4230,數學甲(分科)x1.75,國文(學測)x2.00,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04230,https://www.com.tw/exam/university_042_111.html
電機工程學系(智慧系統組、電機,大葉大學電機工程學系(智慧系統組),4232,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E7%B3%BB%E7%B5%B1%E7%B5%84)&id=04232,https://www.com.tw/exam/university_042_111.html
生物醫學系(檢驗醫學組、生醫,大葉大學生物醫學系(檢驗醫學組),4234,生物(分科)x1.75,國文(學測)x2.00,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E7%B3%BB(%E6%AA%A2%E9%A9%97%E9%86%AB%E5%AD%B8%E7%B5%84)&id=04234,https://www.com.tw/exam/university_042_111.html
多媒體數位內容學士學位學程(動畫與影視特效組,大葉大學多媒體數位內容學士學位學程(動畫與影視特效組),4235,國文(學測)x2.00,英文(學測)x1.75,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E5%A4%9A%E5%AA%92%E9%AB%94%E6%95%B8%E4%BD%8D%E5%85%A7%E5%AE%B9%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B(%E5%8B%95%E7%95%AB%E8%88%87%E5%BD%B1%E8%A6%96%E7%89%B9%E6%95%88%E7%B5%84)&id=04235,https://www.com.tw/exam/university_042_111.html
空間設計學系(室內設計組,大葉大學空間設計學系(室內設計組),4242,英文(學測)x1.00,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E7%A9%BA%E9%96%93%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E5%AE%A4%E5%85%A7%E8%A8%AD%E8%A8%88%E7%B5%84)&id=04242,https://www.com.tw/exam/university_042_111.html
觀光旅遊學系,大葉大學觀光旅遊學系,4246,國文(學測)x2.00,地理(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%97%85%E9%81%8A%E5%AD%B8%E7%B3%BB&id=04246,https://www.com.tw/exam/university_042_111.html
餐旅管理學系,大葉大學餐旅管理學系,4247,國文(學測)x2.00,地理(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%A4%90%E6%97%85%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04247,https://www.com.tw/exam/university_042_111.html
機械與自動化工程學系,大葉大學機械與自動化工程學系,4248,數學甲(分科)x1.75,國文(學測)x2.00,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E8%87%AA%E5%8B%95%E5%8C%96%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04248,https://www.com.tw/exam/university_042_111.html
傳播藝術學士學位學程,大葉大學傳播藝術學士學位學程,4253,國文(學測)x1.00,公民與社會(分科)x2.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E8%97%9D%E8%A1%93%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=04253,https://www.com.tw/exam/university_042_111.html
視光學系,大葉大學視光學系,4260,英文(學測)x2.00,國文(學測)x2.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%A6%96%E5%85%89%E5%AD%B8%E7%B3%BB&id=04260,https://www.com.tw/exam/university_042_111.html
消防安全學士學位學程,大葉大學消防安全學士學位學程,4262,國文(學測)x2.00,英文(學測)x2.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E6%B6%88%E9%98%B2%E5%AE%89%E5%85%A8%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=04262,https://www.com.tw/exam/university_042_111.html
護理學系,大葉大學護理學系,4264,國文(學測)x2.00,英文(學測)x2.00,生物(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=04264,https://www.com.tw/exam/university_042_111.html
