搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
化學工程學系、化工,國立臺灣大學化學工程學系,125,數學甲(分科)x1.25,物理(分科)x1.25,化學(分科)x1.25,英文(學測)x1.00,--,數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00125,https://www.com.tw/exam/university_001_111.html
工程科學及海洋工程學系、工科,國立臺灣大學工程科學及海洋工程學系,126,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.00,化學(分科)x1.00,--,自然(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%B7%A5%E7%A8%8B%E7%A7%91%E5%AD%B8%E5%8F%8A%E6%B5%B7%E6%B4%8B%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00126,https://www.com.tw/exam/university_001_111.html
資訊工程學系、資工,國立臺灣大學資訊工程學系,127,數學甲(分科)x1.25,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00127,https://www.com.tw/exam/university_001_111.html
資訊管理學系、資管,國立臺灣大學資訊管理學系,128,數學甲(分科)x1.50,英文(學測)x1.00,物理(分科)x1.00,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=00128,https://www.com.tw/exam/university_001_111.html
生物環境系統工程學系,國立臺灣大學生物環境系統工程學系,129,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E7%92%B0%E5%A2%83%E7%B3%BB%E7%B5%B1%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00129,https://www.com.tw/exam/university_001_111.html
生物機電工程學系,國立臺灣大學生物機電工程學系,130,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E6%A9%9F%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00130,https://www.com.tw/exam/university_001_111.html
電機工程學系、電機,國立臺灣大學電機工程學系,131,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00131,https://www.com.tw/exam/university_001_111.html
機械工程學系、機械,國立臺灣大學機械工程學系,132,物理(分科)x1.00,數學甲(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00132,https://www.com.tw/exam/university_001_111.html
材料科學與工程學系,國立臺灣大學材料科學與工程學系,133,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,數學A(頂標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00133,https://www.com.tw/exam/university_001_111.html
大氣科學系,國立臺灣大學大氣科學系,134,數學甲(分科)x1.25,物理(分科)x1.25,化學(分科)x1.25,英文(學測)x1.00,國文(學測)x1.00,英文(均標)自然(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%A4%A7%E6%B0%A3%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00134,https://www.com.tw/exam/university_001_111.html
